,Sentiment,Counts
0,-8.9,1
1,-5.45,1
2,-5.4,1
3,-5.35,14
4,-5.3,1
5,-5.2,1
6,-5.15,1
7,-5.1,2
8,-4.9,4
9,-4.85,3
10,-4.75,1
11,-4.7,6
12,-4.65,1
13,-4.6,11
14,-4.5,21
15,-4.45,2
16,-4.4,1
17,-4.35,5
18,-4.3,1
19,-4.25,2
20,-4.2,21
21,-4.15,3
22,-4.1,40
23,-4.05,2
24,-4.0,22
25,-3.95,4
26,-3.9,15
27,-3.85,36
28,-3.75,32
29,-3.7,63
30,-3.65,12
31,-3.6,98
32,-3.55,8
33,-3.5,16
34,-3.45,37
35,-3.4,15
36,-3.35,154
37,-3.3,13
38,-3.25,104
39,-3.2,51
40,-3.15,42
41,-3.1,889
42,-3.05,33
43,-3.0,61
44,-2.95,105
45,-2.9,53
46,-2.85,992
47,-2.8,29
48,-2.75,224
49,-2.7,226
50,-2.65,108
51,-2.6,495
52,-2.55,56
53,-2.5,441
54,-2.45,252
55,-2.4,124
56,-2.35,3852
57,-2.3,75
58,-2.25,264
59,-2.2,359
60,-2.15,86
61,-2.1,1041
62,-2.05,75
63,-2.0,728
64,-1.95,314
65,-1.9,191
66,-1.85,1670
67,-1.8,119
68,-1.75,557
69,-1.7,599
70,-1.65,379
71,-1.6,2635
72,-1.55,105
73,-1.5,1113
74,-1.45,885
75,-1.4,561
76,-1.35,2772
77,-1.3,453
78,-1.25,1635
79,-1.2,1115
80,-1.15,389
81,-1.1,9543
82,-1.05,455
83,-1.0,2331
84,-0.95,665
85,-0.9,1594
86,-0.85,6567
87,-0.8,587
88,-0.75,2404
89,-0.7,2027
90,-0.65,621
91,-0.6,8894
92,-0.55,474
93,-0.5,4532
94,-0.45,1147
95,-0.4,1276
96,-0.35,6232
97,-0.3,700
98,-0.25,2161
99,-0.2,1345
100,-0.15,423
101,-0.1,18617
102,-0.0999999999999999,1
103,-0.0500000000000001,70
104,-0.05,923
105,-0.0499999999999999,75
106,-5.55111512312578e-17,3
107,-2.77555756156289e-17,1480
108,0.0,6545
109,2.77555756156289e-17,3
110,5.55111512312578e-17,41
111,8.32667268468867e-17,19
112,0.0499999999999999,3
113,0.05,1130
114,0.1,976
115,0.15,3857
116,0.2,1287
117,0.25,1343
118,0.3,3288
119,0.35,354
120,0.4,6186
121,0.45,612
122,0.5,3677
123,0.55,825
124,0.6,1190
125,0.65,2498
126,0.7,2687
127,0.75,903
128,0.8,1448
129,0.85,670
130,0.9,3113
131,0.95,562
132,1.0,1339
133,1.05,448
134,1.1,464
135,1.15,1149
136,1.2,754
137,1.25,473
138,1.3,762
139,1.35,241
140,1.4,514
141,1.45,404
142,1.5,644
143,1.55,224
144,1.6,256
145,1.65,249
146,1.7,489
147,1.75,205
148,1.8,203
149,1.85,55
150,1.9,440
151,1.95,105
152,2.0,158
153,2.05,51
154,2.1,152
155,2.15,73
156,2.2,50
157,2.25,54
158,2.3,105
159,2.35,20
160,2.4,59
161,2.45,79
162,2.5,31
163,2.55,30
164,2.6,24
165,2.65,18
166,2.7,17
167,2.75,54
168,2.8,15
169,2.85,3
170,2.9,22
171,2.95,62
172,3.0,8
173,3.05,68
174,3.1,10
175,3.2,5
176,3.3,6
177,3.35,2
178,3.4,2
179,3.45,3
180,3.5,2
181,3.55,4
182,3.65,1
183,3.75,2
184,3.8,1
185,3.85,1
186,4.9,1
